step 0: classification- train loss 0.0552, classification-val loss 0.0531
iter 247: loss 0.0558, time 3278.10ms, mfu 0.43%
iter 248: loss 0.0068, time 3248.64ms, mfu 0.43%
iter 249: loss 0.0582, time 3293.29ms, mfu 0.43%
iter 250: loss 0.0053, time 3296.06ms, mfu 0.43%
iter 251: loss 0.0273, time 3248.87ms, mfu 0.43%
iter 252: loss 0.0444, time 3275.31ms, mfu 0.43%
iter 253: loss 0.0172, time 3281.04ms, mfu 0.43%
iter 254: loss 0.0321, time 3255.99ms, mfu 0.43%
iter 255: loss 0.0182, time 3290.37ms, mfu 0.43%
iter 256: loss 0.0116, time 3282.48ms, mfu 0.43%
iter 257: loss 0.0647, time 3269.63ms, mfu 0.43%
iter 258: loss 0.0126, time 3265.90ms, mfu 0.43%
iter 259: loss 0.0203, time 3269.10ms, mfu 0.43%
iter 260: loss 0.0069, time 3257.50ms, mfu 0.43%
iter 261: loss 0.0136, time 3314.24ms, mfu 0.43%
iter 262: loss 0.0151, time 3263.27ms, mfu 0.43%
iter 263: loss 0.0145, time 3260.93ms, mfu 0.43%
iter 264: loss 0.0979, time 3258.95ms, mfu 0.43%
iter 265: loss 0.0077, time 3265.60ms, mfu 0.43%
iter 266: loss 0.0172, time 3313.20ms, mfu 0.43%
iter 267: loss 0.0903, time 3279.38ms, mfu 0.43%
iter 268: loss 0.0894, time 3252.49ms, mfu 0.43%
iter 269: loss 0.0117, time 3262.24ms, mfu 0.43%
iter 270: loss 0.0512, time 3294.80ms, mfu 0.43%
iter 271: loss 0.0133, time 3271.29ms, mfu 0.43%
iter 272: loss 0.0634, time 3309.40ms, mfu 0.43%
iter 273: loss 0.0049, time 3266.52ms, mfu 0.43%
iter 274: loss 0.0072, time 3249.29ms, mfu 0.43%
iter 275: loss 0.0185, time 3270.69ms, mfu 0.43%
iter 276: loss 0.0290, time 3254.98ms, mfu 0.43%
iter 277: loss 0.0228, time 3290.54ms, mfu 0.43%
iter 278: loss 0.0045, time 3252.73ms, mfu 0.43%
iter 279: loss 0.0084, time 3233.71ms, mfu 0.43%
iter 280: loss 0.0102, time 3248.47ms, mfu 0.43%
iter 281: loss 0.1849, time 3247.11ms, mfu 0.43%
iter 282: loss 0.0881, time 3252.31ms, mfu 0.43%
iter 283: loss 0.0201, time 3274.55ms, mfu 0.43%
iter 284: loss 0.0038, time 3261.62ms, mfu 0.43%
iter 285: loss 0.0089, time 3247.17ms, mfu 0.43%
iter 286: loss 0.0131, time 3235.56ms, mfu 0.43%
iter 287: loss 0.0734, time 3258.70ms, mfu 0.43%
